Site,Web,ContentType,Value,TermStoreGroup,TermSet,DocLib,TargetField,TermPath
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Board,UF Fileplan,Committees,School Board,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Accreditation and Validation Panel,UF Fileplan,Committees,School Accreditation and Validation Panel,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Ethics Committee,UF Fileplan,Committees,School Ethics Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Research Committee,UF Fileplan,Committees,School Research Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Annual Evaluation Committee,UF Fileplan,Committees,School Annual Evaluation Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Teaching Committee,UF Fileplan,Committees,School Teaching Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Health and Safety Committee,UF Fileplan,Committees,School Health and Safety Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Management Committee,UF Fileplan,Committees,School Management Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,Extenuating Circumstances Panel,UF Fileplan,Committees,Extenuating Circumstances Panel,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Research Degrees Committee,UF Fileplan,Committees,School Research Degrees Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School International Committee,UF Fileplan,Committees,School International Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Marketing and Recruitment,UF Fileplan,Committees,School Marketing and Recruitment,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Human Tissue Committee,UF Fileplan,Committees,School Human Tissue Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,School Research Integrity and Ethics Committee,UF Fileplan,Committees,School Research Integrity and Ethics Committee,School of Applied Sciences,|Committees|School of Applied Sciences
https://testunifunctions.hud.ac.uk,/School-of-Applied-Sciences/,School of Applied Sciences,Genetic Modification Committee,UF Fileplan,Committees,Genetic Modification Committee,School of Applied Sciences,|Committees|School of Applied Sciences
